platform,index,post_url,images_count,caption_preview
facebook,1,https://www.facebook.com/groups/1362848747066038/posts/39225447620379343/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 1 ชั่วโมง · ขาย iPho
facebook,2,https://www.facebook.com/groups/1362848747066038/posts/39199174389673333/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ เนื้อหาที่สร้างโดย A
facebook,3,https://www.facebook.com/groups/1362848747066038/posts/39199076189683153/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 1 วัน · ขาย iPhone 1
facebook,4,https://www.facebook.com/groups/1362848747066038/posts/39199050479685724/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 1 วัน · ขาย iPhone 1
facebook,5,https://www.facebook.com/groups/1362848747066038/posts/39179568041633968/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ เนื้อหาที่สร้างโดย A
facebook,6,https://www.facebook.com/groups/1362848747066038/posts/39163000579957381/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 1
facebook,7,https://www.facebook.com/groups/1362848747066038/posts/39162984259959013/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 1
facebook,8,https://www.facebook.com/groups/1362848747066038/posts/39159019393688833/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 1
facebook,9,https://www.facebook.com/groups/1362848747066038/posts/39159004857023620/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 1
facebook,10,https://www.facebook.com/groups/1362848747066038/posts/39155681244022648/,5,Kanyarat Phonoi โพสต์ไปยัง ซื้อขาย​ โทรศัพท์​มือถือ​ มือ​2​ ราคา​ถูก​ ทุก​รุ่น​ 2 วัน · ขาย iPhone 1
